timestamp,open,high,low,close,volume
2020-04-03,108.9200,110.0700,104.9200,106.3400,4538113
2020-04-02,105.3700,110.3200,105.1400,110.0000,6327540
2020-04-01,106.3600,109.9200,104.5210,105.1400,6111890
2020-03-31,112.0000,113.8100,110.1700,110.9300,6342167
2020-03-30,108.0900,113.4600,107.8100,112.9300,5562501
2020-03-27,108.5800,111.5000,107.6450,108.0300,6421470
2020-03-26,106.9100,113.1500,105.5700,112.8900,7153135
2020-03-25,105.4800,112.4779,102.8300,105.8500,8646557
2020-03-24,99.9900,106.0400,99.2600,105.4800,7967768
2020-03-23,94.6000,97.7400,90.5600,94.7700,9718602
2020-03-20,100.9200,100.9900,94.7100,95.3900,10543213
2020-03-19,102.3300,103.6900,98.2350,100.3400,8391294
2020-03-18,99.4100,106.9345,99.4000,103.5500,8751994
2020-03-17,100.6100,107.3950,97.1000,106.6500,8887501
2020-03-16,98.0000,107.4100,95.0000,99.0800,10564044
2020-03-13,108.6800,109.1600,100.8100,107.9500,12493419
2020-03-12,109.6500,109.8000,102.2800,102.8100,12485925
2020-03-11,121.0100,122.5800,116.3838,117.9700,8446480
2020-03-10,122.7800,124.8800,115.7600,124.7700,11403865
2020-03-09,120.1600,122.4100,117.2800,117.8100,10750357
2020-03-06,126.7000,128.3300,124.5200,127.7300,8192525
2020-03-05,130.5000,132.2900,128.4500,129.5500,5445193
2020-03-04,131.5800,134.2800,129.0000,134.2200,4994682
2020-03-03,134.4800,136.0950,127.8000,128.9000,7893390
2020-03-02,130.7500,134.4400,127.9500,134.3000,8528971
2020-02-28,129.9800,131.0900,126.3600,130.1500,13009236
2020-02-27,137.2400,138.6900,133.0100,133.1100,8404903
2020-02-26,142.9000,144.0600,139.6000,139.7500,5407690
2020-02-25,146.5100,147.0700,141.2610,141.7100,6210878
2020-02-24,145.5100,148.0500,145.3800,146.4300,5447948
2020-02-21,151.0400,151.0400,148.8400,149.8400,3536740
2020-02-20,150.8100,151.6200,149.5100,151.2200,2880483
2020-02-19,151.5400,151.8900,150.3100,150.8600,2732905
